Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2, C3, C4",0805,6,10u,
"C10, C9",0805,2,0.22u,
"C13, C14, C15",1812,3,1u,
"C16, C19, C20, C22, C24, C25, C26, C27, C28, C29, C30, C31, C44, C45, C46, C47",0603,16,0.1u,
"C17, C18",0603,2,15p,
"C21, C23, C7, C8",0603,4,1u,
"C32, C35, C38, C41",0603,4,2p,
"C33, C36, C39, C42, C5, C6",0603,6,1n,
"C34, C37, C40, C43",0603,4,39p,
"D1, D2, D3",D_SOD-123F,3,D,
"D4, D5, D6, D9",0603,4,LED,
D7,D_SOD-123,1,4.1V,
D8,D_SOD-123,1,11V,
F1,0805,1,2A,
J1,USB_C_Receptacle_JAE_DX07S016JA1R1500,1,USB_C_Receptacle_USB2.0_14P,
J2,Molex_KK-396_5273-02A_1x02_P3.96mm_Vertical,1,POWER INPUT,
J3,PinHeader_1x03_P2.54mm_Vertical,1,OFFSET REFERENCE,
J4,Molex_KK-396_5273-05A_1x05_P3.96mm_Vertical,1,DEFLECTION OUT,
"L1, L2",L_APV_APH0420,2,10u,
"Q1, Q11, Q14, Q16, Q17, Q19, Q22, Q24, Q25, Q27, Q3, Q30, Q32, Q6, Q8, Q9",SOT-23,16,FMMT458TA,
"Q10, Q12, Q13, Q15, Q18, Q2, Q20, Q21, Q23, Q26, Q28, Q29, Q31, Q4, Q5, Q7",SOT-23,16,FMMT558TA,
"R1, R2",0603,2,5.1k,
"R10, R9",0603,2,107k,
R11,0603,1,14.3k,
"R12, R13, R3, R5, R8, R81, R82",0603,7,100k,
R14,0603,1,162k,
"R15, R16",1206,2,22,
"R17, R19",1206,2,1Meg,
R18,1206,1,12.7k,
R20,1206,1,6.3k,
"R21, R25, R29, R30, R42, R43, R55, R56, R68, R69",0603,10,10k,
"R22, R84",0603,2,1k,
"R23, R24",0603,2,27.4,
"R26, R27, R32, R33, R35, R36, R37, R38, R39, R40, R45, R46, R48, R49, R50, R51, R52, R53, R58, R59, R61, R62, R63, R64, R65, R66, R71, R72, R74, R75, R76, R77",1206,32,2k,
"R28, R41, R54, R67",1206,4,200k,
"R31, R34, R44, R47, R57, R60, R70, R73",1206,8,5k,
R4,0603,1,19.7k,
"R6, R7",0603,2,84.5k,
"R78, R79, R80, R83",0603,4,220,
"RV1, RV2, RV3, RV4, RV5",Potentiometer_Bourns_3296W_Vertical,5,100k,
SW1,SW_SPST_Omron_B3FS-101xP,1,RESET,
SW2,SW_SPST_Omron_B3FS-101xP,1,PROG,
TP1,TestPoint_Pad_1.0x1.0mm,1,SWCLK,
TP2,TestPoint_Pad_1.0x1.0mm,1,SWD,
TP3,TestPoint_Pad_1.0x1.0mm,1,GND,
"U1, U2",SOT-23-5,2,AP2205-ADJ,
"U10, U11, U12, U9",TSOT-23-6,4,LMH6639,
"U3, U4",Analog_MSOP-12-16-1EP_3x4.039mm_P0.5mm_EP1.651x2.845mm,2,LT8365,
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
"U7, U8",SOIC127P599X175-8N,2,MCP4822,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
