Designator,Mid X,Mid Y,Rotation,Layer
C1,217.0,-39.95,270.0,top
C10,218.0,-115.0,180.0,top
C11,151.1375,-56.55,270.0,top
C12,151.0,-49.05,270.0,top
C13,228.55,-101.5,0.0,top
C14,232.5,-46.45,270.0,top
C15,232.0,-112.5,270.0,top
C16,164.5,-105.0,180.0,top
C17,156.400781,-82.999136,270.0,top
C18,159.25,-80.0,0.0,top
C19,155.308295,-86.392405,180.0,top
C2,216.0,-102.5,270.0,top
C20,161.75,-102.375,270.0,top
C21,156.0,-99.25,270.0,top
C22,151.75,-91.6,180.0,top
C23,153.25,-98.25,180.0,top
C24,152.3125,-94.6,180.0,top
C25,152.3125,-96.485,180.0,top
C26,160.0,-102.375,270.0,top
C27,158.25,-102.375,270.0,top
C28,164.75,-95.5,0.0,top
C29,164.75,-91.5,0.0,top
C3,142.0,-49.1,270.0,top
C30,157.5,-74.0,180.0,top
C31,157.5,-66.5,180.0,top
C32,182.40125,-38.96375,180.0,top
C33,182.40125,-49.46375,180.0,top
C34,188.698433,-42.65398,0.0,top
C35,182.53375,-58.56375,180.0,top
C36,182.53375,-69.06375,180.0,top
C37,188.830933,-62.25398,0.0,top
C38,182.40125,-77.93875,180.0,top
C39,182.40125,-88.43875,180.0,top
C4,142.1375,-56.55,270.0,top
C40,188.698433,-81.62898,0.0,top
C41,182.20625,-97.25625,180.0,top
C42,182.20625,-107.75625,180.0,top
C43,188.503433,-100.94648,0.0,top
C44,188.90125,-48.46375,0.0,top
C45,189.03375,-68.06375,0.0,top
C46,188.90125,-87.43875,0.0,top
C47,188.70625,-106.75625,0.0,top
C5,217.5,-50.45,270.0,top
C6,216.0,-111.0,180.0,top
C7,217.5,-45.95,0.0,top
C8,216.0,-107.0,0.0,top
C9,222.0,-50.45,270.0,top
D1,226.9,-106.0,0.0,top
D2,227.5,-38.95,270.0,top
D3,234.0,-101.5,270.0,top
D4,160.4625,-50.59,0.0,top
D5,160.4625,-54.0,0.0,top
D6,160.5,-57.59,0.0,top
D7,152.0,-101.5,180.0,top
D8,157.0,-47.5,0.0,top
D9,174.5,-89.5,180.0,top
F1,152.5,-38.75,0.0,top
J1,141.55,-111.0,270.0,top
J2,144.0,-38.48,270.0,top
J3,167.25,-40.25,180.0,top
J4,230.5,-76.5,90.0,top
L1,222.0,-38.95,0.0,top
L2,221.0,-102.0,0.0,top
Q1,192.40125,-43.96375,90.0,top
Q10,192.53375,-68.06375,90.0,top
Q11,196.53375,-63.56375,270.0,top
Q12,196.53375,-68.06375,270.0,top
Q13,200.53375,-63.56375,90.0,top
Q14,200.53375,-68.06375,90.0,top
Q15,204.53375,-63.56375,270.0,top
Q16,204.53375,-68.06375,270.0,top
Q17,192.40125,-82.93875,90.0,top
Q18,192.40125,-87.43875,90.0,top
Q19,196.40125,-82.93875,270.0,top
Q2,192.40125,-48.46375,90.0,top
Q20,196.40125,-87.43875,270.0,top
Q21,200.40125,-82.93875,90.0,top
Q22,200.40125,-87.43875,90.0,top
Q23,204.40125,-82.93875,270.0,top
Q24,204.40125,-87.43875,270.0,top
Q25,192.20625,-102.25625,90.0,top
Q26,192.20625,-106.75625,90.0,top
Q27,196.20625,-102.25625,270.0,top
Q28,196.20625,-106.75625,270.0,top
Q29,200.20625,-102.25625,90.0,top
Q3,196.40125,-43.96375,270.0,top
Q30,200.20625,-106.75625,90.0,top
Q31,204.20625,-102.25625,270.0,top
Q32,204.20625,-106.75625,270.0,top
Q4,196.40125,-48.46375,270.0,top
Q5,200.40125,-43.96375,90.0,top
Q6,200.40125,-48.46375,90.0,top
Q7,204.40125,-43.96375,270.0,top
Q8,204.40125,-48.46375,270.0,top
Q9,192.53375,-63.56375,90.0,top
R1,146.75,-107.0,90.0,top
R10,217.5,-113.0,180.0,top
R11,149.1375,-59.55,180.0,top
R12,145.6375,-59.55,180.0,top
R13,148.5,-52.05,180.0,top
R14,145.0,-52.05,180.0,top
R15,232.5,-38.95,270.0,top
R16,232.5,-106.0,180.0,top
R17,227.5,-44.95,90.0,top
R18,226.0375,-50.95,0.0,top
R19,227.0,-111.5,90.0,top
R2,146.75,-115.0,270.0,top
R20,223.0,-114.5,0.0,top
R21,167.925,-105.0,0.0,top
R22,171.25,-105.0,180.0,top
R23,149.5,-111.25,0.0,top
R24,149.5,-109.5,0.0,top
R25,153.15,-88.775,270.0,top
R26,182.90125,-43.96375,180.0,top
R27,182.90125,-46.96375,180.0,top
R28,184.40125,-41.46375,180.0,top
R29,188.40125,-38.96375,0.0,top
R3,163.0,-47.0,0.0,top
R30,188.90125,-50.96375,180.0,top
R31,203.40125,-38.96375,180.0,top
R32,195.40125,-38.96375,0.0,top
R33,195.40125,-53.46375,0.0,top
R34,203.40125,-53.46375,0.0,top
R35,187.40125,-53.46375,0.0,top
R36,179.43875,-53.46375,180.0,top
R37,207.40125,-42.96375,270.0,top
R38,207.40125,-49.46375,270.0,top
R39,183.03375,-63.56375,180.0,top
R4,166.175,-47.0,0.0,top
R40,183.03375,-66.56375,180.0,top
R41,184.53375,-61.06375,180.0,top
R42,188.53375,-58.56375,0.0,top
R43,189.03375,-70.56375,180.0,top
R44,203.53375,-58.56375,180.0,top
R45,195.53375,-58.56375,0.0,top
R46,195.53375,-73.06375,0.0,top
R47,203.53375,-73.06375,0.0,top
R48,187.53375,-73.06375,0.0,top
R49,179.57125,-73.06375,180.0,top
R5,217.0,-42.95,180.0,top
R50,207.53375,-62.56375,270.0,top
R51,207.53375,-69.06375,270.0,top
R52,182.90125,-82.93875,180.0,top
R53,182.90125,-85.93875,180.0,top
R54,184.40125,-80.43875,180.0,top
R55,188.40125,-77.93875,0.0,top
R56,188.90125,-89.93875,180.0,top
R57,203.40125,-77.93875,180.0,top
R58,195.40125,-77.93875,0.0,top
R59,195.40125,-92.43875,0.0,top
R6,217.5,-47.95,180.0,top
R60,203.40125,-92.43875,0.0,top
R61,187.40125,-92.43875,0.0,top
R62,179.43875,-92.43875,180.0,top
R63,207.40125,-81.93875,270.0,top
R64,207.40125,-88.43875,270.0,top
R65,182.70625,-102.25625,180.0,top
R66,182.70625,-105.25625,180.0,top
R67,184.20625,-99.75625,180.0,top
R68,188.20625,-97.25625,0.0,top
R69,188.70625,-109.25625,180.0,top
R7,216.0,-109.0,180.0,top
R70,203.20625,-97.25625,180.0,top
R71,195.20625,-97.25625,0.0,top
R72,195.20625,-111.75625,0.0,top
R73,203.20625,-111.75625,0.0,top
R74,187.20625,-111.75625,0.0,top
R75,179.24375,-111.75625,180.0,top
R76,207.20625,-101.25625,270.0,top
R77,207.20625,-107.75625,270.0,top
R78,168.25,-60.5,90.0,top
R79,165.0,-60.5,90.0,top
R8,139.8125,-58.725,90.0,top
R80,162.0,-60.5,90.0,top
R81,151.5,-63.5,0.0,top
R82,157.5,-57.0,90.0,top
R83,174.5,-92.5,0.0,top
R84,160.0,-86.325,270.0,top
R9,219.5,-50.45,270.0,top
RV1,162.5,-41.01,270.0,top
RV2,142.96,-66.5,180.0,top
RV3,142.96,-75.5,180.0,top
RV4,143.0,-84.75,180.0,top
RV5,142.99,-93.5,180.0,top
SW1,159.75,-113.75,180.0,top
SW2,170.5,-113.75,180.0,top
U1,146.6375,-56.55,180.0,top
U10,188.03375,-65.01375,0.0,top
U11,187.90125,-84.38875,0.0,top
U12,187.70625,-103.70625,0.0,top
U2,146.5,-49.05,180.0,top
U3,222.085,-45.66,0.0,top
U4,221.1055,-108.71,0.0,top
U5,168.75,-101.0,90.0,top
U6,158.45,-92.3,270.0,top
U7,164.0,-68.5,0.0,top
U8,164.0,-76.0,0.0,top
U9,187.90125,-45.41375,0.0,top
Y1,159.5,-83.0,180.0,top
